Benchmark,GC,JVM heap size allocation (mb),Throughput percentage (%),JVM heap size peak (mb),Average allocation rate (mbps),Average pause time (ms),Maximum pause time (ms),Total concurrent time (ms)
chi-square,g1_default,500,85.728,454,730.18,26.6,120,5785
chi-square,sh_default,500,98.688,484,510.95,1.62,58.4,52842
chi-square,z_default,500,97.268,466,242.77,2.22,20.2,75658
chi-square,g1_default,750,90.276,507,570.8,54.4,420,584
chi-square,sh_default,750,98.997,720,373.5,2.24,47.4,30595
chi-square,z_default,750,98.957,716,199.18,1.95,14.2,50167
chi-square,g1_default,1000,88.107,716,586.99,62.6,370,672
chi-square,sh_default,1000,98.994,920,450.69,2.47,45.3,21890
chi-square,z_default,1000,99.09,822,145.58,1.92,17.6,44048
chi-square,g1_default,1250,89.784,934,577.98,72,430,77.2
chi-square,sh_default,1250,99.129,1075,431.36,2.53,34.7,22593
chi-square,z_default,1250,99.225,927,145.75,1.94,13.3,42067
chi-square,g1_default,1500,88.585,1111,599.89,75.2,400,78.4
chi-square,sh_default,1500,99.027,1157,413.01,3.19,62.1,18536
chi-square,z_default,1500,99.211,1116,176.86,1.84,4.94,35637
movie-lens,g1_default,500,95.111,259,1853.44,10.4,160,7786
movie-lens,sh_default,500,96.854,361,329.16,1.73,48.6,203331
movie-lens,z_default,500,93.712,466,817.96,4.27,34.1,503021
movie-lens,g1_default,750,96.495,484,1699.84,10.4,190,1154
movie-lens,sh_default,750,98.04,628,495.71,1.81,106,319783
movie-lens,z_default,750,94.679,590,389.69,3.95,37,661974
movie-lens,g1_default,1000,96.751,361,1617.92,10.4,180,829
movie-lens,sh_default,1000,98.531,854,662.95,1.71,95.1,210578
movie-lens,z_default,1000,94.578,616,408.55,4.02,54.5,650482
movie-lens,g1_default,1250,97.133,384,1433.6,10.6,240,925
movie-lens,sh_default,1250,98.923,1045,513.92,1.95,108,202579
movie-lens,z_default,1250,95.47,812,517.14,4.26,27.7,626232
movie-lens,g1_default,1500,96.987,416,1812.48,10.5,240,1109
movie-lens,sh_default,1500,99.096,1290,521.83,2.11,97.1,167849
movie-lens,z_default,1500,96.467,1045,735.63,4.53,35.2,468798
page-rank,g1_default,1000,87.247,835,141.68,56.1,390,19968
page-rank,sh_default,1000,99.809,896,45.11,4.15,93.5,91453
page-rank,z_default,1000,99.662,908,54.75,2.68,12.6,182428
page-rank,g1_default,1250,85.474,781,143.84,68.3,480,12120
page-rank,sh_default,1250,99.763,1075,126.5,1.94,34.1,23717
page-rank,z_default,1250,99.577,1096,128,1.96,10.5,70364
page-rank,g1_default,1500,85.993,786,119.71,68.7,390,10326
page-rank,sh_default,1500,99.791,1290,110.04,2.51,39.9,22361
page-rank,z_default,1500,99.638,1218,123.4,2.35,37.9,64800
page-rank,g1_default,1750,86.695,793,116.06,69.2,420,8262
page-rank,sh_default,1750,99.788,1495,129.57,2.46,39.4,16874
page-rank,z_default,1750,99.747,1464,122.52,2.03,8.43,66391
page-rank,g1_default,2000,86.355,739,110.46,74.9,410,7472
page-rank,sh_default,2000,99.795,1710,128.1,2.56,43.2,13645
page-rank,z_default,2000,99.691,1864,185.91,2.12,10.1,49057
